SITE,BO95_1,BO95_2,BO95_3,BO95_4,BO95_5,BO95_6,BO95_7,BO95_8,BO95_9,BO95_10,BO95_11,BO95_12,BO96_1,BO96_2,BO96_3,BO96_4,BO96_5,BO96_6,BO96_7,BO96_8,BO96_9,BO96_10,BO96_11,BO96_12,BO97_1,BO97_2,BO97_3,BO97_4,BO97_5,BO97_6,BO97_7,BO97_8,BO97_9,BO97_10,BO97_11,BO97_12,BO98_1,BO98_2,BO98_3,BO98_4,BO98_5,BO98_6,BO98_7,BO98_8,BO98_9,BO98_10,BO98_11,BO98_12,BO99_1,BO99_2,BO99_3,BO99_4,BO99_5,BO99_6,BO99_7,BO99_8,BO99_9,BO99_10,BO99_11,BO99_12,BO00_1,BO00_2,BO00_3,BO00_4,BO00_5,BO00_6,BO00_7,BO00_8,BO00_9,BO00_10,BO00_11,BO00_12,BO01_1,BO01_2,BO01_3,BO01_4,BO01_5,BO01_6,BO01_7,BO01_8,BO01_9,BO01_10,BO01_11,BO01_12,BO02_1,BO02_2,BO02_3,BO02_4,BO02_5,BO02_6,BO02_7,BO02_8,BO02_9,BO02_10,BO02_11,BO02_12,BO03_1,BO03_2,BO03_3,BO03_4,BO03_5,BO03_6,BO03_7,BO03_8,BO03_9,BO03_10,BO03_11,BO03_12,BO04_1,BO04_2,BO04_3,BO04_4,BO04_5,BO04_6,BO04_7,BO04_8,BO04_9,BO04_10,BO04_11,BO04_12,BO05_1,BO05_2,BO05_3,BO05_4,BO05_5,BO05_6,BO05_7,BO05_8,BO05_9,BO05_10,BO05_11,BO05_12,BO06_1,BO06_2,BO06_3,BO06_4,BO06_5,BO06_6,BO06_7,BO06_8,BO06_9,BO06_10,BO06_11,BO06_12,BO07_1,BO07_2,BO07_3,BO07_4,BO07_5,BO07_6,BO07_7,BO07_8,BO07_9,BO07_10,BO07_11,BO07_12,BO08_1,BO08_2,BO08_3,BO08_4,BO08_5,BO08_6,BO08_7,BO08_8,BO08_9,BO08_10,BO08_11,BO08_12,BO09_1,BO09_2,BO09_3,BO09_4,BO09_5,BO09_6,BO09_7,BO09_8,BO09_9,BO09_10,BO09_11,BO09_12,BO10_1,BO10_2,BO10_3,BO10_4,BO10_5,BO10_6,BO10_7,BO10_8,BO10_9,BO10_10,BO10_11,BO10_12,BO11_1,BO11_2,BO11_3,BO11_4,BO11_5,BO11_6,BO11_7,BO11_8,BO11_9,BO11_10,BO11_11,BO11_12,BO12_1,BO12_2,BO12_3,BO12_4,BO12_5,BO12_6,BO12_7,BO12_8,BO12_9,BO12_10,BO12_11,BO12_12,BO13_1,BO13_2,BO13_3,BO13_4,BO13_5,BO13_6,BO13_7,BO13_8,BO13_9,BO13_10,BO13_11,BO13_12,BO14_1,BO14_2,BO14_3,BO14_4,BO14_5,BO14_6,BO14_7,BO14_8,BO14_9,BO14_10,BO14_11,BO14_12,BO15_1,BO15_2,BO15_3,BO16_1,BO16_2,BO16_3,OV15_1,OV15_2,OV15_3,OV16_1,OV16_2,OV16_3,PHAB_95,PHAB_96,PHAB_97,PHAB_98,PHAB_99,PHAB_00,PHAB_01,PHAB_02,PHAB_03,PHAB_04,PHAB_05,PHAB_06,PHAB_07,PHAB_08,PHAB_09,PHAB_10,PHAB_11,PHAB_12,PHAB_13,PHAB_14,PHAB_15
11,NA,NA,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,1,NA,NA,NA,0,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,1,NA,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,0,0,NA,0,1,1,0,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,0,0,NA,NA,0,0,NA,NA,1,NA,0,0,NA,1,NA,NA,NA,1,0,3,4,5,2,7,5,0.367,0.561,0.874,0.861,0.705,0.861,0.262,0.261,0.259,0.259,0.259,0.263,0.262,0.264,0.264,0.264,0.266,0.269,0.264,0.264,0.262,0.26,0.259,0.256,0.256,0.249,0.249
12,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,NA,1,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,5,NA,NA,NA,0.104,0,0.941,0,0,0,0.366,0.364,0.364,0.361,0.361,0.36,0.36,0.363,0.363,0.362,0.363,0.359,0.359,0.358,0.358,0.357,0.353,0.351,0.349,0.349,0.347
13,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,1,NA,NA,0,NA,0,NA,0,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,0,2,NA,NA,NA,0,0.543,0.96,0,0,0,0.15,0.152,0.152,0.151,0.152,0.153,0.154,0.152,0.149,0.153,0.149,0.152,0.148,0.149,0.148,0.148,0.146,0.143,0.143,0.143,0.143
14,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,2,0,2,NA,NA,NA,0.691,0.543,0.626,0,0,0,0.259,0.259,0.261,0.261,0.258,0.255,0.259,0.261,0.264,0.262,0.262,0.264,0.262,0.263,0.259,0.258,0.255,0.251,0.251,0.247,0.247
15,0,NA,0,NA,1,1,NA,NA,1,0,1,NA,NA,1,0,NA,NA,1,NA,0,1,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,1,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,0,NA,NA,NA,0,1,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,0,0,2,0.441,0.559,0.064,0.262,0.262,0.738,0.435,0.441,0.442,0.444,0.438,0.434,0.439,0.441,0.445,0.445,0.447,0.449,0.457,0.456,0.451,0.446,0.44,0.435,0.433,0.433,0.429
16,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,1,0,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,1,0,0,0,NA,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,1,NA,0,0,NA,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,0,1,1,0,NA,NA,0,NA,NA,NA,0,1,NA,0,1,0,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,1,NA,1,0,3,1,NA,7,0.856,0.869,0.869,0.723,0.013,0.869,0.167,0.164,0.165,0.152,0.143,0.145,0.145,0.142,0.141,0.139,0.139,0.136,0.132,0.134,0.132,0.13,0.13,0.129,0.129,0.129,0.127
17,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,1,0,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,0.946,0,0,0,0.032,0.038,0.043,0.041,0.041,0.038,0.037,0.036,0.036,0.035,0.033,0.035,0.03,0.03,0.034,0.03,0.03,0.029,0.029,0.029,0.029
18,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,1,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,1,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,3,2,NA,NA,NA,0.12,0.987,1,0,0,0,0.205,0.212,0.219,0.24,0.251,0.24,0.254,0.253,0.256,0.243,0.213,0.168,0.149,0.143,0.133,0.123,0.124,0.108,0.107,0.089,0.089
19,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,1,1,NA,1,NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,0,1,1,NA,NA,0,NA,1,0,0,NA,0,0,NA,NA,1,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,3,2,NA,NA,NA,0.209,0.871,1,0,0,0,0.453,0.45,0.445,0.447,0.447,0.444,0.445,0.446,0.446,0.446,0.448,0.442,0.437,0.435,0.439,0.44,0.438,0.434,0.434,0.434,0.431
20,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,1,NA,1,1,1,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2,4,3,5,4,0,1,0.937,1,1,1,0.053,0.051,0.053,0.051,0.054,0.053,0.053,0.051,0.046,0.047,0.047,0.048,0.047,0.039,0.038,0.037,0.037,0.036,0.036,0.036,0.036
21,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,4,0,3,1,5,0,0.848,0.173,0.962,0.848,0.962,0.011,0.01,0.011,0.008,0.008,0.007,0.007,0.009,0.009,0.008,0.009,0.009,0.009,0.006,0.008,0.008,0.008,0.008,0.008,0.008,0.008
22,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2,6,3,0,4,4,0.786,1,0.977,0.513,0.75,1,0.623,0.623,0.623,0.626,0.628,0.63,0.628,0.629,0.627,0.626,0.624,0.619,0.619,0.612,0.608,0.609,0.605,0.602,0.597,0.596,0.596
23,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,1,NA,NA,NA,NA,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,1,0,NA,1,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,0,1,0,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,6,4,4,NA,NA,NA,0.782,1,1,0,0,0,0.407,0.408,0.41,0.411,0.412,0.412,0.414,0.414,0.417,0.415,0.414,0.414,0.415,0.414,0.411,0.404,0.401,0.399,0.399,0.399,0.399
24,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,1,NA,0,NA,0,3,NA,1,1,3,0.112,0.812,0.023,0.109,0.511,0.809,0.383,0.387,0.392,0.394,0.393,0.395,0.392,0.396,0.393,0.401,0.403,0.407,0.398,0.389,0.381,0.377,0.369,0.361,0.361,0.361,0.361
25,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,0,NA,0,NA,NA,0,1,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,3,3,3,3,2,0.056,0.588,0.99,0.927,0.848,0.898,0.138,0.14,0.147,0.149,0.147,0.147,0.127,0.124,0.126,0.126,0.122,0.119,0.12,0.116,0.117,0.114,0.11,0.108,0.107,0.106,0.106
26,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,0,0,NA,1,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,1,0,2,NA,NA,NA,0.221,0.537,1,0,0,0,0.081,0.086,0.088,0.097,0.102,0.1,0.094,0.096,0.089,0.088,0.091,0.085,0.068,0.073,0.075,0.072,0.065,0.056,0.056,0.055,0.055
